"id","materia","prova","ano","enunciado","visibilidade_id"
"1","Matemática","Enem","2022","<p>Uma cozinheira produz docinhos especiais por encomenda. Usando uma receita-base de massa, ela prepara uma porção, com a qual produz 50 docinhos maciços de formato esférico, com 2 cm de diâmetro. Um cliente encomenda 150 desses docinhos, mas pede que cada um tenha formato esférico com 4 cm de diâmetro. A cozinheira pretende preparar o número exato de porções da receita-base de massa necessário para produzir os docinhos dessa encomenda.</p>
<p>Quantas porções da receita-base de massa ela deve ) preparar para atender esse cliente?</p>","3"
"2","Matemática","Enem","2022","<p>Uma pessoa precisa contratar um operário para fazer um serviço em sua casa. Para isso, ela postou um anúncio em uma rede social.</p>
<p>Cinco pessoas responderam informando preços por hora trabalhada, gasto diário com transporte e tempo necessário para conclusão do serviço, conforme valores apresentados no quadro.</p>
<table style=""border-collapse: collapse; width: 100%; border-width: 1px; border-color: #000000;"" border=""1""><colgroup><col style=""width: 25.0364%;""><col style=""width: 25.0364%;""><col style=""width: 25.0364%;""><col style=""width: 25.0364%;""></colgroup>
<tbody>
<tr>
<td style=""text-align: center; border-width: 1px; border-color: rgb(0, 0, 0); background-color: rgb(149, 165, 166);""><strong>Operário</strong></td>
<td style=""text-align: center; border-width: 1px; border-color: rgb(0, 0, 0); background-color: rgb(149, 165, 166);""><strong>Preço por hora (real)</strong></td>
<td style=""text-align: center; border-width: 1px; border-color: rgb(0, 0, 0); background-color: rgb(149, 165, 166);""><strong>Preço do</strong><br><strong>transporte</strong><br><strong>(real)</strong></td>
<td style=""text-align: center; border-width: 1px; border-color: rgb(0, 0, 0); background-color: rgb(149, 165, 166);""><strong>Tempo até</strong><br><strong>conclusão</strong><br><strong>(hora)</strong></td>
</tr>
<tr>
<td style=""text-align: center; border-width: 1px; border-color: rgb(0, 0, 0);"">I</td>
<td style=""text-align: center; border-width: 1px; border-color: rgb(0, 0, 0);"">120</td>
<td style=""text-align: center; border-width: 1px; border-color: rgb(0, 0, 0);"">0,00</td>
<td style=""text-align: center; border-width: 1px; border-color: rgb(0, 0, 0);"">8</td>
</tr>
<tr>
<td style=""text-align: center; border-width: 1px; border-color: rgb(0, 0, 0);"">II</td>
<td style=""text-align: center; border-width: 1px; border-color: rgb(0, 0, 0);"">180</td>
<td style=""text-align: center; border-width: 1px; border-color: rgb(0, 0, 0);"">0,00</td>
<td style=""text-align: center; border-width: 1px; border-color: rgb(0, 0, 0);"">6</td>
</tr>
<tr>
<td style=""text-align: center; border-width: 1px; border-color: rgb(0, 0, 0);"">III</td>
<td style=""text-align: center; border-width: 1px; border-color: rgb(0, 0, 0);"">170</td>
<td style=""text-align: center; border-width: 1px; border-color: rgb(0, 0, 0);"">20,00</td>
<td style=""text-align: center; border-width: 1px; border-color: rgb(0, 0, 0);"">6</td>
</tr>
<tr>
<td style=""text-align: center; border-width: 1px; border-color: rgb(0, 0, 0);"">IV</td>
<td style=""text-align: center; border-width: 1px; border-color: rgb(0, 0, 0);"">110</td>
<td style=""text-align: center; border-width: 1px; border-color: rgb(0, 0, 0);"">10,00</td>
<td style=""text-align: center; border-width: 1px; border-color: rgb(0, 0, 0);"">9</td>
</tr>
<tr>
<td style=""text-align: center; border-width: 1px; border-color: rgb(0, 0, 0);"">V</td>
<td style=""text-align: center; border-width: 1px; border-color: rgb(0, 0, 0);"">110</td>
<td style=""text-align: center; border-width: 1px; border-color: rgb(0, 0, 0);"">0,00</td>
<td style=""text-align: center; border-width: 1px; border-color: rgb(0, 0, 0);"">10</td>
</tr>
</tbody>
</table>
<p>Se a pessoa pretende gastar o mínimo possível com essa contratação, irá contratar o operário</p>","3"
"3","Matemática","Enem","2022","<p>O governo de um estado pretende realizar uma obra de infraestrutura para auxiliar na integração e no processo de escoamento da produção agrícola de duas cidades. O projeto consiste na interligação direta das cidades A e B com a Rodovia 003, pela construção das Rodovias 001 e 002. As duas rodovias serão construídas em linha reta e deverão se conectar à Rodovia 003 em um mesmo ponto, conforme esboço apresentado na figura, na qual estão também indicadas as posições das cidades A e B, considerando o eixo x posicionado sobre a Rodovia 003, e cinco localizações sugeridas para o ponto de conexão entre as três rodovias.</p>
<p><img style=""display: block; margin-left: auto; margin-right: auto;"" src=""/storage/attachments/questoes/3/s0EGkAMSdNsTrLDMyCY2si3D2hFUJ3NeX1krtg1X.png""></p>
<p>Pretende-se que a distância percorrida entre as duas cidades, pelas Rodovias 001 e 002, passando pelo ponto de conexão, seja a menor possível.</p>
<p>Dadas as exigências do projeto, qual das localizações sugeridas deve ser a escolhida para o ponto de conexão?</p>","3"
"4","Matemática","Enem","2022","<p>Ao escutar à notícia de que um filme recém-lançado arrecadou, no primeiro mês de lançamento, R\$ 1,35 bilhão em bilheteria, um estudante escreveu corretamente o número que representa essa quantia, com todos os seus algarismos.</p>
<p>O número escrito pelo estudante foi</p>","3"
"5","Matemática","Enem","2022","<p>Em uma loja, o preço promocional de uma geladeira é de R\$ 1 000,00 para pagamento somente em dinheiro. Seu preço normal, fora da promoção, é 10% maior. Para pagamento feito com o cartão de crédito da loja, é dado um desconto de 2% sobre o preço normal.</p>
<p>Uma cliente decidiu comprar essa geladeira, optando pelo pagamento com o cartão de crédito da loja. Ela calculou que o valor a ser pago seria o preço promocional acrescido de 8%. Ao ser informada pela loja do valor a pagar, segundo sua opção, percebeu uma diferença entre seu cálculo e o valor que lhe foi apresentado.</p>
<p>O valor apresentado pela loja, comparado ao valor calculado pela cliente, foi</p>","3"
"6","Matemática","Enem","2022","<p>Em uma competição de velocidade, diz-se que há uma ultrapassagem quando um veículo que está atrás de outro passa à sua frente, com ambos se deslocando no mesmo sentido. Considere uma competição automobilística entre cinco carros em uma pista com 100 m de comprimento, onde todos largam no mesmo instante e da mesma linha. O gráfico mostra a variação da distância percorrida por cada veículo, em função do tempo, durante toda a competição. </p>
<p><img style=""display: block; margin-left: auto; margin-right: auto;"" src=""/storage/attachments/questoes/6/Iyy7D3PZnmN3QWmzWnmOTC5gbkHLxuXIlGg5QA4d.png""></p>
<p>Qual o número de ultrapassagens, após o início da competição, efetuadas pelo veículo que chegou em último lugar?</p>","3"
"7","Matemática","Enem","2022","<p>Definem-se o dia e o ano de um planeta de um sistema solar como sendo, respectivamente, o tempo que o planeta leva para dar 1 volta completa em tomo de seu próprio eixo de rotação e o tempo para dar 1 volta completa em tomo de seu Sol.</p>
<p>Suponha que exista um planeta Z, em algum sistema solar, onde um dia corresponda a 73 dias terrestres e que 2 de seus anos correspondam a 1 ano terrestre. Considere que 1 ano terrestre tem 365 de seus dias.</p>
<p>No planeta Z, seu ano corresponderia a quantos de seus dias?</p>","3"
"8","Matemática","Enem","2022","<p>Um borrifador de atuação automática libera, a cada acionamento, uma mesma quantidade de inseticida. O recipiente desse produto, quando cheio, contém 360 mL de inseticida, que duram 60 dias se o borrifador permanecer ligado ininterruptamente e for acionado a cada 48 minutos.</p>
<p>A quantidade de inseticida que é liberada a cada acionamento do borrifador, em mililitro, é</p>","3"
"9","Matemática","Enem","2022","<p>Em uma universidade, atuam professores que estão enquadrados funcionalmente pela sua maior titulação: mestre ou doutor. Nela há, atualmente, 60 mestres e 40 doutores. Os salários mensais dos professores mestres e dos doutores são, respectivamente, R\$ 8 000,00 e R\$ 12 000,00. </p>
<p>A diretoria da instituição pretende proporcionar um aumento salarial diferenciado para o ano seguinte, de tal forma que o salário médio mensal dos professores dessa instituição não ultrapasse R\$ 12 240,00. A universidade já estabeleceu que o aumento salarial será de 25% para os mestres e precisa ainda definir o percentual de reajuste para os doutores. </p>
<p>Mantido o número atual de professores com suas atuais titulações, o aumento salarial, em porcentagem, a ser concedido aos doutores deverá ser de, no máximo,</p>","3"
"10","Matemática","Enem","2022","<p>No período de 2005 a 2013, o valor de venda dos imóveis em uma cidade apresentou alta, o que resultou no aumento dos aluguéis. Os gráficos apresentam a evolução desses valores, para um mesmo imóvel, no mercado imobiliário dessa cidade. </p>
<p><img style=""display: block; margin-left: auto; margin-right: auto;"" src=""/storage/attachments/questoes/10/4VfV6ddVwUrrSdkN805PDrubcc4bQbI50wZLxVg5.png""></p>
<p>A rentabilidade do aluguel de um imóvel é calculada pela razão entre o valor mensal de aluguel e o valor de mercado desse imóvel.</p>
<p>Com base nos dados fornecidos, em que ano a rentabilidade do aluguel foi maior?</p>","3"
